Podsumowanie;Średnia ważona; T1; T2; T3; T4; T5; T6; T7; T8; T9; T10; T11
Around 40% of people being/having Tested: Yes are/have TotalKg: Regular OR Age: Young; 0,693; 0,675; 0,75; 0,58; 0,336; 0,5; 0,88; 0,94; 0,999; 0,421; 1; 1
Around one third of people being/having Tested: Yes are/have TotalKg: Regular OR Age: Young; 0,469; 0,369; 0,75; 0,58; 0,336; 0,5; 0,84; 0,92; 0,999; 0,421; 1; 1
Around 15000 of people being/having Tested: Yes are/have TotalKg: Regular OR Age: Young; 0,205; 0; 0,75; 0,58; 0,336; 0,5; 0,951; 0,975; 0,999; 0,421; 1; 1
Around 25000 of people being/having Tested: Yes are/have TotalKg: Regular OR Age: Young; 0,205; 0; 0,75; 0,58; 0,336; 0,5; 0,951; 0,975; 0,999; 0,421; 1; 1
Around 20% of people being/having Tested: Yes are/have TotalKg: Regular OR Age: Young; 0,202; 0; 0,75; 0,58; 0,336; 0,5; 0,88; 0,94; 0,999; 0,421; 1; 1
Majority of people being/having Tested: Yes are/have TotalKg: Regular OR Age: Young; 0,201; 0; 0,75; 0,58; 0,336; 0,5; 0,85; 0,925; 0,999; 0,421; 1; 1
No of people being/having Tested: Yes are/have TotalKg: Regular OR Age: Young; 0,2; 0; 0,75; 0,58; 0,336; 0,5; 0,84; 0,92; 0,999; 0,421; 1; 1
Less than 5000 of people being/having Tested: Yes are/have TotalKg: Regular OR Age: Young; 0,2; 0; 0,75; 0,58; 0,336; 0,5; 0,877; 0,877; 0,999; 0,421; 1; 1
All of people being/having Tested: Yes are/have TotalKg: Regular OR Age: Young; 0,199; 0; 0,75; 0,58; 0,336; 0,5; 0,85; 0,875; 0,999; 0,421; 1; 1
More than 35000 of people being/having Tested: Yes are/have TotalKg: Regular OR Age: Young; 0,199; 0; 0,75; 0,58; 0,336; 0,5; 0,853; 0,853; 0,999; 0,421; 1; 1
Around half of people being/having Tested: Yes are/have TotalKg: Regular OR Age: Young; 0,199; 0; 0,75; 0,58; 0,336; 0,5; 0,8; 0,9; 0,999; 0,421; 1; 1
Around three quaters of people being/having Tested: Yes are/have TotalKg: Regular OR Age: Young; 0,199; 0; 0,75; 0,58; 0,336; 0,5; 0,8; 0,9; 0,999; 0,421; 1; 1
Less than a third of people being/having Tested: Yes are/have TotalKg: Regular OR Age: Young; 0,188; 0; 0,75; 0,58; 0,336; 0,5; 0,64; 0,67; 0,999; 0,421; 1; 1

Less than 5000 of people being/having Tested: Yes are/have TotalKg: Regular AND Age: Young; 0,905; 1; 0,75; 0,086; 0,007; 0,5; 0,877; 0,877; 0,999; 0,421; 1; 1
Less than a third of people being/having Tested: Yes are/have TotalKg: Regular AND Age: Young; 0,893; 1; 0,75; 0,086; 0,007; 0,5; 0,64; 0,67; 0,999; 0,421; 1; 1
No of people being/having Tested: Yes are/have TotalKg: Regular AND Age: Young; 0,73; 0,759; 0,75; 0,086; 0,007; 0,5; 0,84; 0,92; 0,999; 0,421; 1; 1
Around 15000 of people being/having Tested: Yes are/have TotalKg: Regular AND Age: Young; 0,182; 0; 0,75; 0,086; 0,007; 0,5; 0,951; 0,975; 0,999; 0,421; 1; 1
Around 25000 of people being/having Tested: Yes are/have TotalKg: Regular AND Age: Young; 0,182; 0; 0,75; 0,086; 0,007; 0,5; 0,951; 0,975; 0,999; 0,421; 1; 1
Around 20% of people being/having Tested: Yes are/have TotalKg: Regular AND Age: Young; 0,18; 0; 0,75; 0,086; 0,007; 0,5; 0,88; 0,94; 0,999; 0,421; 1; 1
Around 40% of people being/having Tested: Yes are/have TotalKg: Regular AND Age: Young; 0,18; 0; 0,75; 0,086; 0,007; 0,5; 0,88; 0,94; 0,999; 0,421; 1; 1
Majority of people being/having Tested: Yes are/have TotalKg: Regular AND Age: Young; 0,178; 0; 0,75; 0,086; 0,007; 0,5; 0,85; 0,925; 0,999; 0,421; 1; 1
Around one third of people being/having Tested: Yes are/have TotalKg: Regular AND Age: Young; 0,178; 0; 0,75; 0,086; 0,007; 0,5; 0,84; 0,92; 0,999; 0,421; 1; 1
All of people being/having Tested: Yes are/have TotalKg: Regular AND Age: Young; 0,177; 0; 0,75; 0,086; 0,007; 0,5; 0,85; 0,875; 0,999; 0,421; 1; 1
More than 35000 of people being/having Tested: Yes are/have TotalKg: Regular AND Age: Young; 0,176; 0; 0,75; 0,086; 0,007; 0,5; 0,853; 0,853; 0,999; 0,421; 1; 1
Around half of people being/having Tested: Yes are/have TotalKg: Regular AND Age: Young; 0,176; 0; 0,75; 0,086; 0,007; 0,5; 0,8; 0,9; 0,999; 0,421; 1; 1
Around three quaters of people being/having Tested: Yes are/have TotalKg: Regular AND Age: Young; 0,176; 0; 0,75; 0,086; 0,007; 0,5; 0,8; 0,9; 0,999; 0,421; 1; 1
