Podsumowanie;Średnia ważona; T1; T2; T3; T4; T5; T6; T7; T8; T9; T10; T11
Around one third of people being/having Tested: Yes are/have TotalKg: Regular; 0,853; 0,883; 0,506; 0,53; 0,53; 1; 0,84; 0,92; 0,995; 0,421; 1; 1
Less than a third of people being/having Tested: Yes are/have TotalKg: Regular; 0,449; 0,344; 0,506; 0,53; 0,53; 1; 0,64; 0,67; 0,995; 0,421; 1; 1
Around 15000 of people being/having Tested: Yes are/have TotalKg: Regular; 0,216; 0; 0,506; 0,53; 0,53; 1; 0,951; 0,975; 0,995; 0,421; 1; 1
Around 25000 of people being/having Tested: Yes are/have TotalKg: Regular; 0,216; 0; 0,506; 0,53; 0,53; 1; 0,951; 0,975; 0,995; 0,421; 1; 1
Around 20% of people being/having Tested: Yes are/have TotalKg: Regular; 0,213; 0; 0,506; 0,53; 0,53; 1; 0,88; 0,94; 0,995; 0,421; 1; 1
Around 40% of people being/having Tested: Yes are/have TotalKg: Regular; 0,213; 0; 0,506; 0,53; 0,53; 1; 0,88; 0,94; 0,995; 0,421; 1; 1
Majority of people being/having Tested: Yes are/have TotalKg: Regular; 0,212; 0; 0,506; 0,53; 0,53; 1; 0,85; 0,925; 0,995; 0,421; 1; 1
No of people being/having Tested: Yes are/have TotalKg: Regular; 0,211; 0; 0,506; 0,53; 0,53; 1; 0,84; 0,92; 0,995; 0,421; 1; 1
Less than 5000 of people being/having Tested: Yes are/have TotalKg: Regular; 0,211; 0; 0,506; 0,53; 0,53; 1; 0,877; 0,877; 0,995; 0,421; 1; 1
All of people being/having Tested: Yes are/have TotalKg: Regular; 0,21; 0; 0,506; 0,53; 0,53; 1; 0,85; 0,875; 0,995; 0,421; 1; 1
More than 35000 of people being/having Tested: Yes are/have TotalKg: Regular; 0,21; 0; 0,506; 0,53; 0,53; 1; 0,853; 0,853; 0,995; 0,421; 1; 1
Around half of people being/having Tested: Yes are/have TotalKg: Regular; 0,209; 0; 0,506; 0,53; 0,53; 1; 0,8; 0,9; 0,995; 0,421; 1; 1
Around three quaters of people being/having Tested: Yes are/have TotalKg: Regular; 0,209; 0; 0,506; 0,53; 0,53; 1; 0,8; 0,9; 0,995; 0,421; 1; 1
