k; accuracy; metric; (split = 0.8)
3; 0,34; EuclideanDistance
5; 0,37; EuclideanDistance
7; 0,35; EuclideanDistance
9; 0,34; EuclideanDistance
11; 0,34; EuclideanDistance
13; 0,33; EuclideanDistance
15; 0,36; EuclideanDistance
17; 0,33; EuclideanDistance
19; 0,32; EuclideanDistance
3; 0,39; ManhattanDistance
5; 0,40; ManhattanDistance
7; 0,42; ManhattanDistance
9; 0,37; ManhattanDistance
11; 0,34; ManhattanDistance
13; 0,37; ManhattanDistance
15; 0,36; ManhattanDistance
17; 0,39; ManhattanDistance
19; 0,36; ManhattanDistance
3; 0,35; ChebyshevDistance
5; 0,36; ChebyshevDistance
7; 0,35; ChebyshevDistance
9; 0,32; ChebyshevDistance
11; 0,35; ChebyshevDistance
13; 0,35; ChebyshevDistance
15; 0,33; ChebyshevDistance
17; 0,36; ChebyshevDistance
19; 0,32; ChebyshevDistance
