k; accuracy; metric; (split = 0.8)
3; 0,52; EuclideanDistance
5; 0,76; EuclideanDistance
7; 0,43; EuclideanDistance
9; 0,38; EuclideanDistance
11; 0,57; EuclideanDistance
13; 0,57; EuclideanDistance
15; 0,71; EuclideanDistance
17; 0,67; EuclideanDistance
19; 0,43; EuclideanDistance
3; 0,57; ManhattanDistance
5; 0,67; ManhattanDistance
7; 0,67; ManhattanDistance
9; 0,71; ManhattanDistance
11; 0,38; ManhattanDistance
13; 0,52; ManhattanDistance
15; 0,67; ManhattanDistance
17; 0,43; ManhattanDistance
19; 0,57; ManhattanDistance
3; 0,57; ChebyshevDistance
5; 0,71; ChebyshevDistance
7; 0,57; ChebyshevDistance
9; 0,43; ChebyshevDistance
11; 0,67; ChebyshevDistance
13; 0,43; ChebyshevDistance
15; 0,67; ChebyshevDistance
17; 0,43; ChebyshevDistance
19; 0,33; ChebyshevDistance
