k; accuracy; metric; (split = 0.8)
3; 0,33; EuclideanDistance
5; 0,33; EuclideanDistance
7; 0,48; EuclideanDistance
9; 0,52; EuclideanDistance
11; 0,38; EuclideanDistance
13; 0,33; EuclideanDistance
15; 0,38; EuclideanDistance
17; 0,38; EuclideanDistance
19; 0,33; EuclideanDistance
3; 0,52; ManhattanDistance
5; 0,43; ManhattanDistance
7; 0,57; ManhattanDistance
9; 0,48; ManhattanDistance
11; 0,48; ManhattanDistance
13; 0,43; ManhattanDistance
15; 0,57; ManhattanDistance
17; 0,48; ManhattanDistance
19; 0,43; ManhattanDistance
3; 0,52; ChebyshevDistance
5; 0,48; ChebyshevDistance
7; 0,43; ChebyshevDistance
9; 0,52; ChebyshevDistance
11; 0,33; ChebyshevDistance
13; 0,38; ChebyshevDistance
15; 0,62; ChebyshevDistance
17; 0,48; ChebyshevDistance
19; 0,19; ChebyshevDistance
