k	 accuracy	 metric	 (split = 0.8)
3	0,4	 EuclideanDistance	
5	0,38	 EuclideanDistance	
7	0,37	 EuclideanDistance	
9	0,4	 EuclideanDistance	
11	0,36	 EuclideanDistance	
13	0,44	 EuclideanDistance	
15	0,42	 EuclideanDistance	
17	0,35	 EuclideanDistance	
19	0,37	 EuclideanDistance	
3	0,46	 ManhattanDistance	
5	0,43	 ManhattanDistance	
7	0,47	 ManhattanDistance	
9	0,41	 ManhattanDistance	
11	0,44	 ManhattanDistance	
13	0,48	 ManhattanDistance	
15	0,43	 ManhattanDistance	
17	0,4	 ManhattanDistance	
19	0,43	 ManhattanDistance	
3	0,38	 ChebyshevDistance	
5	0,37	 ChebyshevDistance	
7	0,35	 ChebyshevDistance	
9	0,36	 ChebyshevDistance	
11	0,33	 ChebyshevDistance	
13	0,36	 ChebyshevDistance	
15	0,33	 ChebyshevDistance	
17	0,34	 ChebyshevDistance	
19	0,34	 ChebyshevDistance	
