k, accuracy, metric, (split = 0.8)
3,"0,37", EuclideanDistance,
5,"0,39", EuclideanDistance,
7,"0,39", EuclideanDistance,
9,"0,37", EuclideanDistance,
11,"0,39", EuclideanDistance,
13,"0,35", EuclideanDistance,
15,"0,37", EuclideanDistance,
17,"0,4", EuclideanDistance,
19,"0,39", EuclideanDistance,
3,"0,4", ManhattanDistance,
5,"0,43", ManhattanDistance,
7,"0,43", ManhattanDistance,
9,"0,46", ManhattanDistance,
11,"0,44", ManhattanDistance,
13,"0,42", ManhattanDistance,
15,"0,41", ManhattanDistance,
17,"0,47", ManhattanDistance,
19,"0,44", ManhattanDistance,
3,"0,37", ChebyshevDistance,
5,"0,37", ChebyshevDistance,
7,"0,34", ChebyshevDistance,
9,"0,36", ChebyshevDistance,
11,"0,36", ChebyshevDistance,
13,"0,34", ChebyshevDistance,
15,"0,34", ChebyshevDistance,
17,"0,35", ChebyshevDistance,
19,"0,4", ChebyshevDistance,
