k; accuracy; metric; (split = 0.8)
3; 0,35; EuclideanDistance
5; 0,26; EuclideanDistance
7; 0,28; EuclideanDistance
9; 0,30; EuclideanDistance
11; 0,29; EuclideanDistance
13; 0,29; EuclideanDistance
15; 0,32; EuclideanDistance
17; 0,35; EuclideanDistance
19; 0,32; EuclideanDistance
3; 0,28; ManhattanDistance
5; 0,29; ManhattanDistance
7; 0,30; ManhattanDistance
9; 0,31; ManhattanDistance
11; 0,35; ManhattanDistance
13; 0,30; ManhattanDistance
15; 0,33; ManhattanDistance
17; 0,27; ManhattanDistance
19; 0,30; ManhattanDistance
3; 0,30; ChebyshevDistance
5; 0,31; ChebyshevDistance
7; 0,31; ChebyshevDistance
9; 0,27; ChebyshevDistance
11; 0,30; ChebyshevDistance
13; 0,30; ChebyshevDistance
15; 0,31; ChebyshevDistance
17; 0,28; ChebyshevDistance
19; 0,32; ChebyshevDistance
